State,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
Alabama,4447100,23,2435373,20,8343,11,54.8,21,19,7
Alaska,626931,48,215223,51,856,46,34.3,48,14,20
Arizona,5130632,20,2048023,24,3307,32,39.9,42,6,43
Arkansas,2673398,33,1526959,32,5802,18,57.1,18,22,4
California,33871653,1,15614071,1,16921,2,46.1,31,5,50
Colorado,4301997,24,1697259,29,3228,33,39.5,43,8,38
Connecticut,3405584,29,1971102,25,1955,37,57.9,16,6,46
Delaware,783600,45,318122,48,571,50,40.6,41,7,39
District of Columbia,572059,50,418543,46,390,51,73.2,3,7,42
Florida,15982820,4,6576205,6,10078,8,41.1,40,6,44
Georgia,8186517,10,3665550,11,8962,10,44.8,34,11,24
Hawaii,1211537,42,438694,45,939,43,36.2,46,8,36
Idaho,1293956,39,627262,40,1855,38,48.5,27,14,16
Illinois,12419570,5,6867625,5,10140,7,55.3,20,8,34
Indiana,6080506,14,2608882,19,7492,15,42.9,37,12,22
Iowa,2926382,30,1711426,28,4584,24,58.5,13,16,13
Kansas,2688814,32,1327235,33,3959,29,49.4,26,15,15
Kentucky,4042209,25,2159541,22,7143,16,53.4,23,18,8
Louisiana,4468958,22,2627028,18,4158,27,58.8,12,9,31
Maine,1274923,40,463541,44,1301,42,36.4,45,10,28
Maryland,5296485,19,2291896,21,3855,30,43.3,36,7,40
Massachusetts,6349097,13,4069606,10,3535,31,64.1,5,6,47
Michigan,9938480,8,4158134,9,7527,14,41.8,38,8,37
Minnesota,4919485,21,3035510,14,5115,22,61.7,7,10,27
Mississippi,2844656,31,1554483,31,5505,20,54.6,22,19,6
Missouri,5596683,17,2893159,17,7771,12,51.7,24,14,17
Montana,902195,44,403492,47,1543,40,44.7,35,17,9
Nebraska,1711265,38,1006860,36,2612,35,58.8,11,15,14
Nevada,1998257,35,685119,37,938,44,34.3,49,5,51
New Hampshire,1235786,41,589022,41,872,45,47.7,28,7,41
New Jersey,8414347,9,4858756,8,4531,25,57.7,17,5,49
New Mexico,1819046,36,1057828,35,2026,36,58.2,14,11,23
New York,18976821,3,11461411,3,11001,6,60.4,10,6,45
North Carolina,8046451,11,3651416,12,11132,5,45.4,32,14,18
North Dakota,642200,47,470112,43,1507,41,73.2,2,23,1
Ohio,11353143,7,5102269,7,11167,4,44.9,33,10,29
Oklahoma,3450654,27,2096476,23,5854,17,60.8,8,17,10
Oregon,3421432,28,1071287,34,3155,34,31.3,51,9,32
Pennsylvania,12281054,6,7116698,4,13105,3,57.9,15,11,26
Rhode Island,1048319,43,665170,38,572,49,63.5,6,5,48
South Carolina,4011848,26,1908638,27,5522,19,47.6,29,14,19
South Dakota,754844,46,511886,42,1712,39,67.8,4,23,3
Tennessee,5689262,16,2905619,16,9634,9,51.1,25,17,11
Texas,20851790,2,11573549,2,18466,1,55.5,19,9,33
Utah,2233198,34,1668851,30,4343,26,74.7,1,19,5
Vermont,608827,49,238251,49,775,48,39.1,44,13,21
Virginia,7078483,12,2943551,15,7736,13,41.6,39,11,25
Washington,5894141,15,1942850,26,4649,23,33,50,8,35
West Virginia,1808350,37,650016,39,4139,28,35.9,47,23,2
Wisconsin,5363704,18,3241659,13,5181,21,60.4,9,10,30
Wyoming,493782,51,230725,50,790,47,46.7,30,16,12
,,,,,,,,,,
2000 - List of State Data,,,,,,,,,,
,,,,,,,,,,
For explanatory notes see the Methods page on our website: www.usreligioncensus.org,,,,,,,,,,
